x, y
0.0020876888970260397, 0.3672507536419808
0.011482260263686775, 0.49865230095774354
0.02296452052737355, 0.6637466713542406
0.03235909189403423, 0.795148218670003
0.04279753637916459, 0.9501348346820996
0.05427979664285131, 1.1051212656145561
0.06784968846365103, 1.2904312373196734
0.0772442598303117, 1.4016172758666356
0.09185808210949409, 1.5936658121878997
0.10020878035768525, 1.7048517581950418
0.11482254529695454, 1.8530997170511714
0.13048018335469344, 1.964285709328224
0.15240083076359737, 2.0451482533724357
0.179540729085023, 1.9811320745986811
0.1931106782457359, 1.8733154108996122
0.205636754287979, 1.7452830533521029
0.2181628303302223, 1.5734501183394594
0.22442589702130047, 1.4622641723323169
0.23382046838796122, 1.303908366551967
0.2515657953427262, 1.0141509209160344
0.2620041824879433, 0.8086253479022966
0.27348644275163014, 0.6165769041208528
0.28914408080936904, 0.39083563725867454
0.3048016615271948, 0.19878700839759061
0.32776618205456837, 0.030323448232840555
0.38308979447597596, 0
0.4363257180003578, 0
0.4791231970396092, 0.06738546108182791
0.49373696197887856, 0.25269552532676504
0.5052191649026521, 0.40431276649096853
0.5156576667276955, 0.5592991974234246
0.5250522380943562, 0.6704852359703873
0.5386221872550692, 0.8557951151356844
0.5501043901788427, 1.0512129337650218
0.5594989615455034, 1.1623989723119839
0.5730689107062161, 1.3510782263251746
0.582463482072877, 1.4656334546403904
0.5918580534395377, 1.5902965298798264
0.5991648785692593, 1.691374628962748
0.6179540213025805, 1.8766846006678655
0.634655532478789, 1.9777627922906078
0.6534446752121105, 2.0451482533724357
0.676409195739484, 1.9946091575610645
0.6951983384728054, 1.8632075639753916
0.706680541396579, 1.7452830533521029
0.7139874812061269, 1.6273585427288138
0.722338236794231, 1.5094339395657044
0.7317328081608917, 1.361185980709575
0.759916522260874, 0.8557951151356844
0.7703549094060911, 0.6671158611224935
0.7839248585668037, 0.46495966295664926
0.7995824392846297, 0.2830189735596059
0.8183715820179511, 0.09433971954641512
0.860125245278646, 0.0033693748478931165
0.919624235494106, 0.0033693748478931165
0.9791232257095657, 0.0033693748478931165
