x, y
-0.0010394851614861302, 1.0236332492206692
0.02494802455231117, 2.3663223612274584
0.06340954654226409, 4.254062145372621
0.09979209820924469, 5.66321996098393
0.11642409871592534, 6.022156437384321
0.13097712889963373, 6.208271850219189
0.148648662152381, 6.168390019508034
0.1611226744285365, 5.955687125231358
0.17047818363565323, 5.66321996098393
0.18814966930382, 4.958641357452497
0.20893970562560618, 3.8153620075499224
0.22869020920132568, 2.6587883083780013
0.25051973068459793, 1.5155095670238687
0.2640332757068202, 0.9704582863370529
0.2765072879829758, 0.6115218099366629
0.28898130025913144, 0.3988183071115444
0.3056133483503925, 0.3190546456892355
0.3388773493637537, 0.2791728149780811
0.39293143428348165, 0.2658784657087348
0.4708940110094541, 0.25258533353627294
0.5582120969425433, 0.22599663499758033
0.6216215959002268, 0.25258533353627294
0.6798337166350603, 0.25258533353627294
0.7380457422007326, 0.2791728149780811
0.7931392646973662, 0.3057602964198892
0.8492723199400664, 0.2924671642474274
0.889812859837572, 0.2791728149780811
0.9334719028041165, 0.2791728149780811
0.9698545020556779, 0.25258533353627294
0.9823285143318335, 0.2924671642474274
0.988565520469911, 0.5716399792255085
0.9979210296770279, 0.9438695877983603
